ano,mes_num,dre_receita,dre_despesa,cash_in,cash_out,ap_realizado_caixa,ap_total,ap_realizado,ar_total,ar_realizado,ebitda_proxy,fcf_proxy,capital_giro_proxy,ccc_proxy
2020,11,0,0,0.0,0.0,0.0,2549.33,2549.33,0.0,0.0,0,0.0,-2549.33,0
2020,12,0,0,0.0,0.0,0.0,299.99,299.99,0.0,0.0,0,0.0,-299.99,0
2021,1,0,0,0.0,0.0,0.0,304.83,304.83,0.0,0.0,0,0.0,-304.83,0
2021,2,0,0,0.0,0.0,0.0,4316.45,4316.45,0.0,0.0,0,0.0,-4316.45,0
2021,3,0,0,0.0,0.0,0.0,19727.56,19727.56,0.0,0.0,0,0.0,-19727.56,0
2021,4,0,0,0.0,0.0,0.0,84587.08,84587.08,0.0,0.0,0,0.0,-84587.08,0
2021,5,0,0,0.0,0.0,0.0,27016.42,27016.420000000002,0.0,0.0,0,0.0,-27016.42,0
2021,6,0,0,0.0,0.0,0.0,41584.71,41584.71000000001,0.0,0.0,0,0.0,-41584.71,0
2021,7,0,0,0.0,0.0,0.0,17031.87,17031.870000000003,0.0,0.0,0,0.0,-17031.87,0
2021,8,0,0,0.0,0.0,0.0,20166.54,20166.54,0.0,0.0,0,0.0,-20166.54,0
2021,9,0,0,0.0,0.0,0.0,17010.97,17010.97,0.0,0.0,0,0.0,-17010.97,0
2021,10,0,0,0.0,0.0,0.0,39235.72,39235.719999999994,0.0,0.0,0,0.0,-39235.72,0
2021,11,0,0,0.0,0.0,0.0,29492.96,29492.96,0.0,0.0,0,0.0,-29492.96,0
2021,12,0,0,0.0,0.0,0.0,92442.7,92442.7,0.0,0.0,0,0.0,-92442.7,0
2022,1,0,0,0.0,0.0,0.0,82214.76000000001,82214.76,0.0,0.0,0,0.0,-82214.76000000001,0
2022,2,0,0,0.0,0.0,0.0,16946.18,16946.18,0.0,0.0,0,0.0,-16946.18,0
2022,3,0,0,0.0,0.0,0.0,116766.4,116766.4,0.0,0.0,0,0.0,-116766.4,0
2022,4,0,0,0.0,0.0,0.0,117860.67,117860.67000000001,0.0,0.0,0,0.0,-117860.67,0
2022,5,0,0,0.0,0.0,0.0,194566.43,194566.43,0.0,0.0,0,0.0,-194566.43,0
2022,6,0,0,0.0,0.0,0.0,289525.99,289525.99,0.0,0.0,0,0.0,-289525.99,0
2022,7,0,0,0.0,0.0,0.0,156028.56,156028.56,0.0,0.0,0,0.0,-156028.56,0
2022,8,0,0,0.0,0.0,0.0,209116.35,209116.35,0.0,0.0,0,0.0,-209116.35,0
2022,9,0,0,0.0,0.0,0.0,276215.77,276215.76999999996,0.0,0.0,0,0.0,-276215.77,0
2022,10,0,0,0.0,0.0,0.0,385641.45,385641.45000000007,0.0,0.0,0,0.0,-385641.45,0
2022,11,0,0,0.0,0.0,0.0,284185.91,284185.91,0.0,0.0,0,0.0,-284185.91,0
2022,12,0,0,0.0,0.0,0.0,318463.16,318463.16000000003,0.0,0.0,0,0.0,-318463.16,0
2023,1,0,0,0.0,0.0,0.0,275320.61,275320.61,0.0,0.0,0,0.0,-275320.61,0
2023,2,0,0,0.0,0.0,0.0,385698.13,385698.13,0.0,0.0,0,0.0,-385698.13,0
2023,3,0,0,0.0,0.0,0.0,619469.98,619469.98,0.0,0.0,0,0.0,-619469.98,0
2023,4,0,0,0.0,0.0,0.0,562351.6799999999,562351.6799999999,0.0,0.0,0,0.0,-562351.6799999999,0
2023,5,0,0,0.0,0.0,0.0,302090.4,302090.4,0.0,0.0,0,0.0,-302090.4,0
2023,6,0,0,0.0,0.0,0.0,432958.89,432958.88999999996,0.0,0.0,0,0.0,-432958.89,0
2023,7,0,0,0.0,0.0,0.0,319958.21,319958.20999999996,0.0,0.0,0,0.0,-319958.21,0
2023,8,0,0,0.0,0.0,0.0,542694.41,542694.4099999999,0.0,0.0,0,0.0,-542694.41,0
2023,9,0,0,0.0,0.0,0.0,952547.2,952547.2,0.0,0.0,0,0.0,-952547.2,0
2023,10,0,0,0.0,0.0,0.0,914342.17,914342.1700000002,0.0,0.0,0,0.0,-914342.17,0
2023,11,0,0,0.0,0.0,0.0,971307.58,954481.5799999998,0.0,0.0,0,0.0,-971307.58,0
2023,12,0,0,0.0,0.0,0.0,617705.1799999999,617705.18,0.0,0.0,0,0.0,-617705.1799999999,0
2024,1,0,0,0.0,0.0,0.0,387818.38,387818.38,0.0,0.0,0,0.0,-387818.38,0
2024,2,0,0,0.0,0.0,0.0,697286.57,670646.5700000001,0.0,0.0,0,0.0,-697286.57,0
2024,3,0,0,0.0,0.0,0.0,613229.5,613229.5,0.0,0.0,0,0.0,-613229.5,0
2024,4,0,0,0.0,0.0,0.0,1552350.48,1552350.48,0.0,0.0,0,0.0,-1552350.48,0
2024,5,0,0,0.0,0.0,0.0,881020.28,881020.2800000001,0.0,0.0,0,0.0,-881020.28,0
2024,6,0,0,0.0,0.0,0.0,628065.32,627684.73,17600.0,17600.0,0,0.0,-610465.32,0
2024,7,0,0,0.0,0.0,0.0,749273.81,748893.22,0.0,0.0,0,0.0,-749273.81,0
2024,8,0,0,0.0,0.0,0.0,979154.29,978773.7000000001,0.0,0.0,0,0.0,-979154.29,0
2024,9,0,0,0.0,0.0,0.0,1101579.06,1101198.47,0.0,0.0,0,0.0,-1101579.06,0
2024,10,0,0,0.0,0.0,0.0,1113451.61,1113451.61,0.0,0.0,0,0.0,-1113451.61,0
2024,11,0,0,0.0,0.0,0.0,1353371.13,1328207.5300000003,0.0,0.0,0,0.0,-1353371.13,0
2024,12,0,0,0.0,0.0,0.0,686449.24,686094.04,0.0,0.0,0,0.0,-686449.24,0
2025,1,0,0,0.0,0.0,0.0,1151363.1500000001,1112276.02,0.0,0.0,0,0.0,-1151363.1500000001,0
2025,2,0,0,0.0,0.0,0.0,841362.6,813793.6799999999,0.0,0.0,0,0.0,-841362.6,0
2025,3,0,0,0.0,0.0,0.0,1181496.5,1142479.37,0.0,0.0,0,0.0,-1181496.5,0
2025,4,0,0,0.0,0.0,0.0,1322794.45,1294974.6500000001,3489.48,3489.48,0,0.0,-1319304.97,0
2025,5,0,0,0.0,0.0,0.0,1729054.42,1523786.37,85434.26,85434.26000000001,0,0.0,-1643620.16,0
2025,6,0,0,0.0,0.0,0.0,1318495.53,1292871.5699999998,51964.98,51964.97999999999,0,0.0,-1266530.55,0
2025,7,0,0,0.0,0.0,0.0,1054652.82,1018516.51,63182.01,63182.00999999999,0,0.0,-991470.81,0
2025,8,0,0,0.0,0.0,0.0,2596145.23,2570521.27,38622.23,36852.229999999996,0,0.0,-2557523.0,0
2025,9,0,0,0.0,0.0,0.0,1283465.42,1257841.46,402360.21,402360.20999999996,0,0.0,-881105.21,0
2025,10,0,0,0.0,0.0,0.0,1642084.06,1615480.3000000003,903877.27,901886.27,0,0.0,-738206.79,0
2025,11,0,0,0.0,0.0,0.0,1265003.92,1239379.96,167462.67,167462.67,0,0.0,-1097541.25,0
2025,12,0,0,0.0,0.0,0.0,1599194.82,1599194.82,178518.46,127324.06000000001,0,0.0,-1420676.36,0
2026,1,0,0,0.0,0.0,0.0,1371573.13,1371573.13,115023.44,115023.44,0,0.0,-1256549.69,0
2026,2,0,0,0.0,0.0,0.0,1096488.38,898784.54,833758.71,805909.06,0,0.0,-262729.6699999999,0
2026,3,0,0,721466.94,54546.44,0.0,1130888.45,163713.38999999998,510936.36,31517.0,0,666920.5,-619952.09,0
2026,4,0,0,0.0,0.0,0.0,1322262.92,0.0,2055041.39,20135.0,0,0.0,732778.47,0
2026,5,0,0,0.0,0.0,0.0,902653.88,2408.89,2355171.21,110400.0,0,0.0,1452517.33,0
2026,6,0,0,0.0,0.0,0.0,771247.3099999999,0.0,131585.91,0.0,0,0.0,-639661.3999999999,0
2026,7,0,0,0.0,0.0,0.0,512030.75,0.0,86721.26000000001,0.0,0,0.0,-425309.49,0
2026,8,0,0,0.0,0.0,0.0,482519.21,0.0,95669.2,0.0,0,0.0,-386850.01,0
2026,9,0,0,0.0,0.0,0.0,436390.94,0.0,1811243.18,0.0,0,0.0,1374852.24,0
2026,10,0,0,0.0,0.0,0.0,611125.21,0.0,259479.4,0.0,0,0.0,-351645.80999999994,0
2026,11,0,0,0.0,0.0,0.0,391402.21,0.0,38500.78,0.0,0,0.0,-352901.43000000005,0
2026,12,0,0,0.0,0.0,0.0,336273.21,0.0,0.0,0.0,0,0.0,-336273.21,0
2027,1,0,0,0.0,0.0,0.0,269802.54,0.0,0.0,0.0,0,0.0,-269802.54,0
2027,2,0,0,0.0,0.0,0.0,269719.74,0.0,0.0,0.0,0,0.0,-269719.74,0
2027,3,0,0,0.0,0.0,0.0,189775.64,0.0,0.0,0.0,0,0.0,-189775.64,0
2027,4,0,0,0.0,0.0,0.0,286435.71,0.0,23020.0,0.0,0,0.0,-263415.71,0
2027,5,0,0,0.0,0.0,0.0,189775.64,0.0,0.0,0.0,0,0.0,-189775.64,0
2027,6,0,0,0.0,0.0,0.0,192569.80000000002,0.0,0.0,0.0,0,0.0,-192569.80000000002,0
2027,7,0,0,0.0,0.0,0.0,186263.51,0.0,0.0,0.0,0,0.0,-186263.51,0
2027,8,0,0,0.0,0.0,0.0,186263.51,0.0,0.0,0.0,0,0.0,-186263.51,0
2027,9,0,0,0.0,0.0,0.0,186263.51,0.0,0.0,0.0,0,0.0,-186263.51,0
2027,10,0,0,0.0,0.0,0.0,273017.03,0.0,0.0,0.0,0,0.0,-273017.03,0
2027,11,0,0,0.0,0.0,0.0,79696.89000000001,0.0,0.0,0.0,0,0.0,-79696.89000000001,0
2027,12,0,0,0.0,0.0,0.0,79696.89000000001,0.0,0.0,0.0,0,0.0,-79696.89000000001,0
2028,1,0,0,0.0,0.0,0.0,79696.89000000001,0.0,0.0,0.0,0,0.0,-79696.89000000001,0
2028,2,0,0,0.0,0.0,0.0,77288.0,0.0,0.0,0.0,0,0.0,-77288.0,0
2028,3,0,0,0.0,0.0,0.0,77288.0,0.0,0.0,0.0,0,0.0,-77288.0,0
2028,4,0,0,0.0,0.0,0.0,173948.07,0.0,0.0,0.0,0,0.0,-173948.07,0
2028,5,0,0,0.0,0.0,0.0,33920.520000000004,0.0,0.0,0.0,0,0.0,-33920.520000000004,0
2028,6,0,0,0.0,0.0,0.0,33920.520000000004,0.0,0.0,0.0,0,0.0,-33920.520000000004,0
2028,7,0,0,0.0,0.0,0.0,33920.520000000004,0.0,0.0,0.0,0,0.0,-33920.520000000004,0
2028,8,0,0,0.0,0.0,0.0,33920.520000000004,0.0,0.0,0.0,0,0.0,-33920.520000000004,0
2028,9,0,0,0.0,0.0,0.0,33920.520000000004,0.0,0.0,0.0,0,0.0,-33920.520000000004,0
2028,10,0,0,0.0,0.0,0.0,130580.59000000001,0.0,0.0,0.0,0,0.0,-130580.59000000001,0
2028,11,0,0,0.0,0.0,0.0,30408.39,0.0,0.0,0.0,0,0.0,-30408.39,0
2028,12,0,0,0.0,0.0,0.0,27560.64,0.0,0.0,0.0,0,0.0,-27560.64,0
2029,1,0,0,0.0,0.0,0.0,27560.64,0.0,0.0,0.0,0,0.0,-27560.64,0
2029,2,0,0,0.0,0.0,0.0,27560.64,0.0,0.0,0.0,0,0.0,-27560.64,0
2029,3,0,0,0.0,0.0,0.0,27560.64,0.0,0.0,0.0,0,0.0,-27560.64,0
2029,4,0,0,0.0,0.0,0.0,124220.71,0.0,0.0,0.0,0,0.0,-124220.71,0
