ano,mes_num,dre_despesa,cash_out,ap_total,ap_realizado,ap_realizado_caixa,gap_competencia_vs_caixa,gap_ap_previsto_vs_realizado,exception_material
2020,11,0,0.0,2549.33,2549.33,0.0,0.0,0.0,False
2020,12,0,0.0,299.99,299.99,0.0,0.0,0.0,False
2021,1,0,0.0,304.83,304.83,0.0,0.0,0.0,False
2021,2,0,0.0,4316.45,4316.45,0.0,0.0,0.0,False
2021,3,0,0.0,19727.56,19727.56,0.0,0.0,0.0,False
2021,4,0,0.0,84587.08,84587.08,0.0,0.0,0.0,False
2021,5,0,0.0,27016.42,27016.420000000002,0.0,0.0,-3.637978807091713e-12,False
2021,6,0,0.0,41584.71,41584.71000000001,0.0,0.0,-7.275957614183426e-12,False
2021,7,0,0.0,17031.87,17031.870000000003,0.0,0.0,-3.637978807091713e-12,False
2021,8,0,0.0,20166.54,20166.54,0.0,0.0,0.0,False
2021,9,0,0.0,17010.97,17010.97,0.0,0.0,0.0,False
2021,10,0,0.0,39235.72,39235.719999999994,0.0,0.0,7.275957614183426e-12,False
2021,11,0,0.0,29492.96,29492.96,0.0,0.0,0.0,False
2021,12,0,0.0,92442.7,92442.7,0.0,0.0,0.0,False
2022,1,0,0.0,82214.76000000001,82214.76,0.0,0.0,1.4551915228366852e-11,False
2022,2,0,0.0,16946.18,16946.18,0.0,0.0,0.0,False
2022,3,0,0.0,116766.4,116766.4,0.0,0.0,0.0,False
2022,4,0,0.0,117860.67,117860.67000000001,0.0,0.0,-1.4551915228366852e-11,False
2022,5,0,0.0,194566.43,194566.43,0.0,0.0,0.0,False
2022,6,0,0.0,289525.99,289525.99,0.0,0.0,0.0,False
2022,7,0,0.0,156028.56,156028.56,0.0,0.0,0.0,False
2022,8,0,0.0,209116.35,209116.35,0.0,0.0,0.0,False
2022,9,0,0.0,276215.77,276215.76999999996,0.0,0.0,5.820766091346741e-11,False
2022,10,0,0.0,385641.45,385641.45000000007,0.0,0.0,-5.820766091346741e-11,False
2022,11,0,0.0,284185.91,284185.91,0.0,0.0,0.0,False
2022,12,0,0.0,318463.16,318463.16000000003,0.0,0.0,-5.820766091346741e-11,False
2023,1,0,0.0,275320.61,275320.61,0.0,0.0,0.0,False
2023,2,0,0.0,385698.13,385698.13,0.0,0.0,0.0,False
2023,3,0,0.0,619469.98,619469.98,0.0,0.0,0.0,False
2023,4,0,0.0,562351.6799999999,562351.6799999999,0.0,0.0,0.0,False
2023,5,0,0.0,302090.4,302090.4,0.0,0.0,0.0,False
2023,6,0,0.0,432958.89,432958.88999999996,0.0,0.0,5.820766091346741e-11,False
2023,7,0,0.0,319958.21,319958.20999999996,0.0,0.0,5.820766091346741e-11,False
2023,8,0,0.0,542694.41,542694.4099999999,0.0,0.0,1.1641532182693481e-10,False
2023,9,0,0.0,952547.2,952547.2,0.0,0.0,0.0,False
2023,10,0,0.0,914342.17,914342.1700000002,0.0,0.0,-1.1641532182693481e-10,False
2023,11,0,0.0,971307.58,954481.5799999998,0.0,0.0,16826.000000000116,True
2023,12,0,0.0,617705.1799999999,617705.18,0.0,0.0,-1.1641532182693481e-10,False
2024,1,0,0.0,387818.38,387818.38,0.0,0.0,0.0,False
2024,2,0,0.0,697286.57,670646.5700000001,0.0,0.0,26639.999999999884,True
2024,3,0,0.0,613229.5,613229.5,0.0,0.0,0.0,False
2024,4,0,0.0,1552350.48,1552350.48,0.0,0.0,0.0,False
2024,5,0,0.0,881020.28,881020.2800000001,0.0,0.0,-1.1641532182693481e-10,False
